Num,Clave_Nal,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Edad18,Sup18,Esc18,CRend,Crad,CCli,CPrec,CAuto,Cint
6276,MEXER2102,20,7.142857143,12.85714286,1,81,2,6,1.8,0.052,2,200,-50,0
6277,MEXER2104,6.666666667,7.142857143,-0.476190476,0,45,1.5,6,-0.2,0.007,0,2300,0,0
6278,MEXER211,26.66666667,21.42857143,5.238095238,1,54,0.5,5,-0.6,0.03,0,-300,0,0
6279,MEXER2110,20,7.142857143,12.85714286,1,62,1.3,6,-0.9,0.052,1,-350,-9,0
6280,MEXER2111,6.666666667,14.28571429,-7.619047619,0,61,1.5,6,0.1,0.016,0,500,0,0
6281,MEXER2115,6.666666667,14.28571429,-7.619047619,0,80,1,2,-0.5,-0.014,0,500,0,0
6282,MEXER2117,20,7.142857143,12.85714286,1,81,1.8,6,-4.2,0.052,0,-700,13,0
6283,MEXER212,26.66666667,14.28571429,12.38095238,1,70,1,0,-0.4,0.052,0,2700,72,0
6284,MEXER2129,6.666666667,7.142857143,-0.476190476,0,77,3,4,2.5,0.031,0,-1000,45,0
6285,MEXER2134,26.66666667,14.28571429,12.38095238,1,78,2.3,6,2,0.074,1,-200,-50,0
6286,MEXER2138,13.33333333,14.28571429,-0.952380952,0,73,3,5,0,-0.007,0,-1400,35,0
6287,MEXER2145,26.66666667,14.28571429,12.38095238,1,60,1.96,6,-2.6,0.074,1,-500,0,0
